"","day","mo","temp","visib","wdsp","NUM_COLLISIONS"
"2058",6,2,35.9,10,13.1,0.397368421052632
"2065",6,2,42.3,5,11.4,0.228947368421053
"2408",6,2,23.5,10,11.8,0.461942257217848
"2415",6,2,31.5,10,16.4,0.364829396325459
"2422",6,2,41.1,7.9,10.6,0.351706036745407
"245",6,3,38.2,10,9.4,0.22089552238806
"252",6,3,39.2,9.9,24.9,0.504477611940298
"259",6,3,37.1,10,10.2,0.361194029850746
"266",6,3,38.5,10,15.9,0.262686567164179
"273",6,3,44.5,10,7,0.337313432835821
"616",6,3,40.3,8.9,11,0.338414634146341
"623",6,3,41.3,8.8,12,0.350609756097561
"630",6,3,38.1,9.7,11.2,0.271341463414634
"637",6,3,44.9,4.5,10.2,0.503048780487805
"980",6,3,25,9.9,10.9,0.468085106382979
"987",6,3,38.7,5.8,10.8,0.279255319148936
"1001",6,3,37.4,7.8,12.7,0.151595744680851
"1344",6,3,34.8,9.1,20.8,0.461748633879781
"1358",6,3,40,10,10,0.295081967213115
"1365",6,3,44.8,9.3,15.1,0.26775956284153
"1708",6,3,22.9,9.9,17.8,0.205655526992288
"1715",6,3,22.5,9.4,19.3,0.236503856041131
"1722",6,3,34.7,10,7.5,0.123393316195373
"1729",6,3,42.9,8.2,13.1,0.295629820051414
"2079",6,3,38.1,10,17.5,0.3
"2086",6,3,33.3,10,19.7,0.286842105263158
"2100",6,3,43.6,9.6,12.6,0.357894736842105
"2436",6,3,35.1,6,16.1,0.63254593175853
"2450",6,3,46.9,6.1,16,0.391076115485564
"2457",6,3,39.3,9,21.7,0.338582677165354
"280",6,4,40.2,10,12.5,0.391044776119403
"287",6,4,44.4,8.2,12.9,0.462686567164179
"294",6,4,52.7,3.6,15.2,0.394029850746269
"644",6,4,44.8,7.7,13.8,0.536585365853659
"658",6,4,45.7,10,5.9,0.36890243902439
"665",6,4,44.9,9.4,12.2,0.439024390243902
"1008",6,4,47.3,4.8,13.7,0.279255319148936
"1015",6,4,47.8,5.1,12.4,0.462765957446808
"1029",6,4,43.7,9.9,12.9,0.50531914893617
"1372",6,4,50.4,5,8.5,0.450819672131148
"1379",6,4,41.8,10,9.7,0.341530054644809
"1386",6,4,44.3,10,22.9,0.674863387978142
"1393",6,4,53.4,5.6,9.3,0.592896174863388
"1400",6,4,47.3,10,8.7,0.407103825136612
"1736",6,4,39.8,3.3,24.2,0.347043701799486
"1743",6,4,43.9,9.8,16.5,0.439588688946015
"1757",6,4,46.7,5.7,13.2,0.244215938303342
"1764",6,4,54.2,2.7,11.6,0.526992287917738
"2107",6,4,43.5,8.7,10.7,0.0894736842105263
"2114",6,4,47.7,7,13.7,0.45
"2121",6,4,44.6,10,10.5,0.344736842105263
"2478",6,4,49.7,5.2,12.6,0.519685039370079
"2485",6,4,54.5,2.9,17.7,0.144356955380577
"2492",6,4,52.9,6.6,19.3,0.328083989501312
"308",6,5,47.8,10,13.7,0.537313432835821
"315",6,5,56.2,3.7,9.4,0.367164179104478
"329",6,5,55.6,4.6,7.6,0.340298507462687
"679",6,5,54.8,7.1,11.1,0.442073170731707
"686",6,5,57.7,5.8,12.5,0.655487804878049
"693",6,5,54.6,10,15,0.25
"700",6,5,53.9,10,12.4,0.557926829268293
"1057",6,5,54.8,10,15,0.382978723404255
"1407",6,5,52.5,5.1,8.1,0.379781420765027
"1428",6,5,62.5,9.2,11.6,0.532786885245902
"1771",6,5,55.1,2.6,13.5,0.588688946015424
"1778",6,5,47.9,10,8.6,0.583547557840617
"1785",6,5,56.3,10,16,0.401028277634961
"2135",6,5,58,9.2,13.5,0.392105263157895
"2149",6,5,49.6,6,9.8,0.342105263157895
"2156",6,5,58.8,7.1,13.8,0.389473684210526
"2506",6,5,56.8,7,10,0.619422572178478
"2520",6,5,56.9,10,9.7,0.312335958005249
"343",6,6,62.3,4.8,19.1,0.51044776119403
"364",6,6,66.2,1.4,13.7,0.570149253731343
"1071",6,6,58,8.4,11.5,0.521276595744681
"1085",6,6,62,10,9,0.273936170212766
"1442",6,6,58.1,9.8,9.6,0.415300546448087
"1456",6,6,62.1,10,8,0.699453551912568
"1813",6,6,61.7,4.3,11.8,0.508997429305913
"2163",6,6,63.1,4.4,7.9,0.444736842105263
"2184",6,6,59.2,5.7,9.2,0.157894736842105
"2534",6,6,60.6,9.8,9.1,0.469816272965879
"2548",6,6,64.7,9.7,8.4,0.614173228346457
"371",6,7,73,8.1,13.1,0.346268656716418
"385",6,7,74.5,3.3,11.8,0.450746268656716
"392",6,7,69.1,9.6,8.8,0.346268656716418
"735",6,7,67,8.4,21.2,0.307926829268293
"1463",6,7,69.4,7.2,11.8,0.377049180327869
"1484",6,7,74.3,7.3,12,0.595628415300546
"1827",6,7,67.7,5.9,13,0.3573264781491
"1834",6,7,67.3,5.4,8.9,0.331619537275064
"1855",6,7,65.1,6.9,11.1,0.143958868894602
"2198",6,7,67.3,9.9,12.8,0.192105263157895
"2212",6,7,59.8,6.8,6.7,0.444736842105263
"35",6,8,77.9,5.7,4.1,0.523809523809524
"42",6,8,77.7,7.8,6.9,0.33015873015873
"399",6,8,69.3,7.2,10.9,0.274626865671642
"406",6,8,72.4,6.4,11.2,0.283582089552239
"420",6,8,66.2,10,10.7,0.37910447761194
"763",6,8,64.3,8.8,6.5,0.414634146341463
"784",6,8,65.6,9.8,10.8,0.152439024390244
"1127",6,8,73.4,8.9,9.2,0.707446808510638
"1134",6,8,69.7,10,11.8,0.38031914893617
"1876",6,8,71.8,5.6,12.2,0.467866323907455
"2240",6,8,73.9,5.9,9.4,0.331578947368421
"2597",6,8,71.2,10,10.5,0.448818897637795
"2611",6,8,68.3,10,12.3,0.296587926509186
"70",6,9,75.3,8.8,5.8,0.619047619047619
"77",6,9,67.2,10,5.1,0.488888888888889
"84",6,9,66.3,8.1,5.6,0.457142857142857
"434",6,9,63.6,10,10.2,0.552238805970149
"441",6,9,64.5,10,9.1,0.355223880597015
"798",6,9,72,6.9,10.7,0.454268292682927
"805",6,9,59.9,9.6,7.6,0.469512195121951
"1162",6,9,66.8,10,9.3,0.36968085106383
"1169",6,9,67.7,9.9,8.8,0.404255319148936
"1183",6,9,59.4,10,11.4,0.412234042553192
"1547",6,9,60.7,10,12.7,0.491803278688525
"1911",6,9,62.6,2.1,17.2,0.44987146529563
"2254",6,9,65,10,7.2,0.2
"2275",6,9,68.8,9.6,14.4,0.286842105263158
"98",6,10,66.1,7,5.2,0.307936507936508
"112",6,10,62.7,5,6.3,0.584126984126984
"119",6,10,61.9,9.6,4.3,0.384126984126984
"469",6,10,58.6,10,13.2,0.465671641791045
"476",6,10,57.3,10,6.2,0.211940298507463
"483",6,10,49,10,13.7,0.674626865671642
"826",6,10,59.4,6.8,5.7,0.38719512195122
"833",6,10,52.9,8.1,8.1,0.432926829268293
"847",6,10,54.7,10,10.7,0.338414634146341
"1190",6,10,55.5,7.9,22.1,0.409574468085106
"1197",6,10,59.2,9,13.1,0.656914893617021
"1204",6,10,52.7,10,8.2,0.433510638297872
"1211",6,10,51.5,10,9.4,0.311170212765957
"1554",6,10,62,1.7,14,0.407103825136612
"1575",6,10,61.3,3.5,12.2,0.538251366120219
"1582",6,10,51,8.8,15.8,0.497267759562842
"2296",6,10,53.2,10,7.9,0.326315789473684
"2303",6,10,59.5,9,16.1,0.463157894736842
"2653",6,10,51.9,10,12.2,0.409448818897638
"2660",6,10,56.2,6.7,19.9,0.26509186351706
"2667",6,10,50.5,10,10.9,0.485564304461942
"2674",6,10,55.2,7.9,7.3,0.325459317585302
"140",6,11,43.6,10,4.7,0.441269841269841
"147",6,11,44.1,9.5,7.6,0.174603174603175
"490",6,11,57.4,6.4,5.6,0.450746268656716
"497",6,11,41.7,10,12.9,0.51044776119403
"511",6,11,47.3,9.6,9.9,0.405970149253731
"861",6,11,43.9,10,13.9,0.423780487804878
"868",6,11,37,10,10.7,0.38109756097561
"875",6,11,37.1,10,15.9,0.329268292682927
"1225",6,11,61.4,6.9,10.9,0.26063829787234
"1232",6,11,49,10,18.7,0.561170212765957
"1239",6,11,48.8,10,14.3,0.518617021276596
"1596",6,11,42.1,10,13.9,0.467213114754098
"1603",6,11,50.1,6.6,12.3,0.710382513661202
"1953",6,11,53.6,9.3,13.9,0.403598971722365
"1960",6,11,30.2,10,12.6,0.429305912596401
"1967",6,11,43.5,10,9.4,0.444730077120823
"2317",6,11,59.7,5.4,19.2,0.534210526315789
"2324",6,11,52.2,7.5,19.1,0.402631578947368
"2331",6,11,44.5,10,12.1,0.278947368421053
"2338",6,11,41.4,10,11.5,0.218421052631579
"2681",6,11,47,10,7.2,0.275590551181102
"2688",6,11,35.3,10,10.2,0.26509186351706
"2695",6,11,39.7,10,18.4,0.330708661417323
"2702",6,11,40.4,10,13.9,0.333333333333333
"2709",6,11,35,10,15.8,0.167979002624672
"154",6,12,38.5,9.3,9.2,0.244444444444444
"175",6,12,37.4,10,10.6,0.441269841269841
"182",6,12,32.5,7.8,5.3,0.123809523809524
"525",6,12,39.7,7.8,11.8,0.498507462686567
"546",6,12,39.3,9.9,10.4,0.223880597014925
"889",6,12,48.9,6.8,9.8,0.682926829268293
"896",6,12,36.9,9.9,9.8,0.579268292682927
"903",6,12,38.2,10,8.3,0.307926829268293
"1260",6,12,55,8.1,9.8,0.468085106382979
"1267",6,12,42.1,10,16.7,0.590425531914894
"1617",6,12,43.8,10,15.1,0.437158469945355
"1624",6,12,28.2,10,12.8,0.336065573770492
"1631",6,12,36.2,5.9,11.5,0.521857923497268
"1638",6,12,44.1,8.2,10.7,0.333333333333333
"1645",6,12,35.8,10,14.1,0.0901639344262295
"1981",6,12,42.5,10,8,0.305912596401028
"1988",6,12,38.7,7.8,9.9,0.210796915167095
"1995",6,12,30.9,8,12.4,0.526992287917738
"2002",6,12,45.6,3.2,10.6,0.280205655526992
"2352",6,12,27.9,10,11.5,0.523684210526316
"2359",6,12,46.1,5.7,6.8,0.460526315789474
"2366",6,12,48.3,4.1,13.3,0.302631578947368
"2373",6,12,48.4,4.1,14.2,0.121052631578947
"2716",6,12,36.4,10,12.9,0.433070866141732
"2723",6,12,52.7,3.1,16.5,0.461942257217848
"211",7,1,21.7,10,16.3,0.0865671641791045
"575",7,1,26.8,9.4,17.8,0.185975609756098
"939",7,1,36.5,9.4,16,0.0106382978723404
"1282",7,1,44.4,10,15.5,0
"1289",7,1,51.3,4.9,16.2,0.0819672131147541
"1296",7,1,40.2,9.2,7.7,0.0519125683060109
"1303",7,1,34.5,6.3,25.6,0.23224043715847
"1310",7,1,45,8.6,12.5,0.273224043715847
"1646",7,1,44.4,9,13.4,0.0745501285347044
"1660",7,1,33.6,9,10.8,0.0874035989717224
"2024",7,1,27,10,14.5,0.107894736842105
"2395",7,1,43.2,2.8,17,0.026246719160105
"218",7,2,30.7,8.2,9.8,0.134328358208955
"225",7,2,24.7,8.9,16.4,0
"232",7,2,30.9,4.2,23.6,0.140298507462687
"239",7,2,42.6,4.3,17.1,0.0776119402985075
"582",7,2,39.3,5.5,8.7,0.0396341463414634
"596",7,2,29.8,7.5,20.2,0.182926829268293
"960",7,2,25.7,4.6,19.6,0.138297872340426
"967",7,2,36,2.6,7.7,0.311170212765957
"1338",7,2,42.8,10,16.6,0.210382513661202
"1702",7,2,43,7.3,14.3,0.0154241645244216
"2045",7,2,37.8,9.1,13.4,0.231578947368421
"2052",7,2,46.3,1.2,9.7,0.068421052631579
"2059",7,2,39.4,8.3,12.4,0.05
"2409",7,2,35.4,8.1,10.4,0.233595800524934
"2416",7,2,28.7,10,11.7,0.115485564304462
"2423",7,2,30.9,10,7.6,0.0997375328083989
"2430",7,2,40.5,5.7,14.1,0
"253",7,3,39,10,11.9,0.0447761194029851
"260",7,3,34.8,9.9,7.5,0.0776119402985075
"267",7,3,39.1,10,10.4,0.152238805970149
"617",7,3,35.2,10,8.9,0
"624",7,3,35.3,10,10.7,0.024390243902439
"631",7,3,38.9,10,9.5,0.0701219512195122
"638",7,3,46.3,1.7,13.8,0.100609756097561
"981",7,3,33.8,9.2,8,0.164893617021277
"988",7,3,38.5,7,12.3,0.151595744680851
"995",7,3,35.1,9.4,15.7,0.0797872340425532
"1002",7,3,34.9,9.5,10.6,0.273936170212766
"1352",7,3,50.1,10,11.8,0.00819672131147541
"1359",7,3,37.2,10,11.3,0.128415300546448
"1709",7,3,20.8,10,19.8,0.0848329048843188
"1716",7,3,20,10,16.1,0.154241645244216
"1723",7,3,36,5.6,19.4,0.241645244215938
"1730",7,3,37,9.5,9.8,0
"2073",7,3,39.6,9.9,23.4,0.0105263157894737
"2080",7,3,36.3,10,11.4,0.0315789473684211
"2087",7,3,27.2,10,12.2,0.192105263157895
"2094",7,3,35.8,9.3,16.6,0.1
"2444",7,3,36.8,7.1,14.7,0.16010498687664
"2451",7,3,36.3,10,13.2,0.047244094488189
"2458",7,3,39.1,10,15.5,0.170603674540682
"2465",7,3,49.2,8.6,14.7,0.128608923884514
"295",7,4,45.1,10,11.7,0.211940298507463
"645",7,4,41.1,10,12.5,0.24390243902439
"652",7,4,47,9.3,8.8,0.23780487804878
"666",7,4,42.4,9.9,4.8,0.13719512195122
"1009",7,4,41.6,10,12.5,0.0531914893617021
"1016",7,4,45,10,10.1,0.109042553191489
"1023",7,4,46.3,9.9,11,0.183510638297872
"1373",7,4,41.7,8.3,17.5,0.418032786885246
"1380",7,4,40.6,10,15.7,0.183060109289617
"1387",7,4,45.8,10,15.4,0.371584699453552
"1394",7,4,49.1,10,13.4,0.0437158469945355
"1737",7,4,39.7,9.3,14.7,0.149100257069409
"1744",7,4,46.3,10,10.5,0.218508997429306
"1751",7,4,51.9,5.3,15.7,0.06426735218509
"1758",7,4,46.5,10,10.5,0.15681233933162
"1765",7,4,53.4,9.8,12.6,0.0359897172236504
"2108",7,4,37.9,9.5,11.2,0.0394736842105263
"2115",7,4,39.7,9,17.5,0.15
"2129",7,4,50.5,9.2,5.9,0.136842105263158
"309",7,5,47.8,9.7,10.1,0.343283582089552
"316",7,5,56.2,3.3,11,0.37910447761194
"330",7,5,50.2,9.3,13.9,0.164179104477612
"673",7,5,51.4,9.8,12.8,0.143292682926829
"687",7,5,56.5,9.8,8.5,0.314024390243902
"1051",7,5,63.1,9.4,9.1,0.375
"1058",7,5,56.5,10,15.5,0.0797872340425532
"1065",7,5,64.7,7.1,11.2,0.406914893617021
"1415",7,5,55.7,8.9,16.3,0.213114754098361
"1422",7,5,56.3,9,14.2,0.379781420765027
"1779",7,5,50.4,5.6,16.5,0.455012853470437
"2143",7,5,49.7,9.7,8.6,0.2
"2150",7,5,56.5,0.7,13.9,0.328947368421053
"2157",7,5,53.7,6,12.6,0.0894736842105263
"2500",7,5,46.9,6.8,9.6,0.335958005249344
"2507",7,5,45.7,7.6,8.6,0.493438320209974
"2521",7,5,57.6,8.9,12.1,0.286089238845144
"337",7,6,61.8,4.6,12.6,0.259701492537313
"351",7,6,61.3,8.9,9.2,0.229850746268657
"715",7,6,66.1,10,10.9,0.216463414634146
"1079",7,6,66.9,10,8.9,0.468085106382979
"1093",7,6,64.4,4.3,13,0.353723404255319
"1443",7,6,66,7.3,12.5,0.423497267759563
"1814",7,6,63.8,0.7,10.2,0.352185089974293
"2164",7,6,52.8,10,11.8,0.189473684210526
"2542",7,6,62.8,9.3,13.2,0.283464566929134
"2549",7,6,65.7,10,11.4,0.414698162729659
"372",7,7,74.4,9,9.1,0.223880597014925
"393",7,7,69.8,5.7,6.5,0.253731343283582
"736",7,7,68.2,10,14.1,0.143292682926829
"750",7,7,65.2,9.1,10,0.143292682926829
"1485",7,7,73.2,10,8.7,0.366120218579235
"1828",7,7,68.7,4.2,11.4,0.208226221079692
"1835",7,7,69.6,9.3,10.1,0.143958868894602
"1856",7,7,67.1,9.6,15,0.38560411311054
"2213",7,7,66.5,3.2,12.8,0.228947368421053
"36",7,8,78.1,5.8,6.1,0.365079365079365
"43",7,8,77.8,8.7,5.7,0.323809523809524
"57",7,8,73.9,10,4.6,0.215873015873016
"400",7,8,69.4,9,8.3,0.161194029850746
"778",7,8,68.3,8.3,6.8,0.219512195121951
"792",7,8,69.1,9.4,9,0.277439024390244
"1135",7,8,67,9.2,13.1,0.231382978723404
"1506",7,8,75.3,4.6,9.9,0.243169398907104
"1863",7,8,69.4,9.5,11.8,0.161953727506427
"2598",7,8,68.8,10,9.4,0.217847769028871
"2612",7,8,65.5,10,13.6,0.21259842519685
"85",7,9,63.8,9,6.4,0.244444444444444
"435",7,9,68,10,13.3,0.298507462686567
"442",7,9,61.2,10,6.6,0.226865671641791
"799",7,9,70.1,9,11,0.222560975609756
"806",7,9,62.2,10,9.6,0.378048780487805
"813",7,9,66.1,8.1,8.1,0.338414634146341
"1177",7,9,70.7,7.5,8.9,0.409574468085106
"1184",7,9,59.4,10,7,0.242021276595745
"1534",7,9,71.3,6.4,11.9,0.289617486338798
"1548",7,9,57.6,10,10.8,0.382513661202186
"1891",7,9,60,6.7,13.1,0.159383033419023
"1898",7,9,61.1,9.7,9.9,0.197943444730077
"2262",7,9,62.6,10,10,0.271052631578947
"2647",7,9,66.9,8.7,11.4,0.228346456692913
"106",7,10,58.7,10,5,0.361904761904762
"470",7,10,55.1,10,11.4,0.304477611940298
"477",7,10,58.3,10,9.4,0.26865671641791
"484",7,10,54.3,10,13.8,0.334328358208955
"827",7,10,59.6,9.6,11,0.307926829268293
"834",7,10,53.3,10,9.2,0.210365853658537
"841",7,10,56,10,10.7,0.240853658536585
"848",7,10,57.6,10,13.1,0.338414634146341
"1191",7,10,56.2,10,19.2,0.356382978723404
"1205",7,10,46.1,10,13.7,0.396276595744681
"1562",7,10,62.2,6.4,13.8,0.131147540983607
"1576",7,10,53.7,10,21.3,0.278688524590164
"1583",7,10,61.1,9.3,11,0.341530054644809
"1947",7,10,60.4,9.6,12.3,0.403598971722365
"2297",7,10,52.8,10,8.9,0.165789473684211
"2304",7,10,48.5,9.1,11.8,0.368421052631579
"2311",7,10,56.8,6.9,13.4,0.271052631578947
"2675",7,10,53.4,7.6,14.3,0.173228346456693
"141",7,11,43.2,9.8,5.5,0.136507936507936
"148",7,11,36.6,10,7.1,0.0380952380952381
"491",7,11,49.4,8.8,12,0.0447761194029851
"498",7,11,52.5,10,13,0.22089552238806
"512",7,11,30.5,10,18.3,0.280597014925373
"862",7,11,53.2,10,9.1,0.0457317073170732
"869",7,11,38.1,10,5.6,0.0762195121951219
"876",7,11,52.6,8.9,18.3,0.0640243902439024
"1226",7,11,53.2,10,11,0.186170212765957
"1233",7,11,47.6,10,14.3,0.26063829787234
"1240",7,11,50.1,8.1,6.6,0.0771276595744681
"1590",7,11,49.9,9,10.5,0.273224043715847
"1597",7,11,51.3,10,14.2,0.234972677595628
"1604",7,11,47,5.5,14.4,0.265027322404372
"1611",7,11,43.4,10,13.2,0.092896174863388
"1954",7,11,54.5,10,10.8,0.161953727506427
"1968",7,11,54.8,7.8,16.8,0.300771208226221
"1975",7,11,48.9,9.9,12.2,0.0745501285347044
"2318",7,11,47.7,10,9.9,0.128947368421053
"2325",7,11,39.9,10,13.7,0.123684210526316
"2339",7,11,47.7,6.1,15.9,0.0789473684210526
"2696",7,11,41.5,10,14.2,0.112860892388451
"2703",7,11,50.2,7.5,13,0.304461942257218
"162",7,12,46.2,7.2,5.4,0.447619047619048
"169",7,12,44.5,7.5,6.5,0.307936507936508
"526",7,12,34,10,8.8,0.167164179104478
"533",7,12,40,5.8,18.9,0.149253731343284
"540",7,12,51.9,2.1,15.2,0.313432835820896
"890",7,12,41.9,8,25,0.271341463414634
"1268",7,12,38.5,10,14,0.26063829787234
"1275",7,12,52.9,4.5,13.1,0.308510638297872
"1618",7,12,38.2,10,14.6,0.136612021857924
"1625",7,12,29.9,10,7.5,0.245901639344262
"1632",7,12,49.8,2.5,13.2,0.243169398907104
"1989",7,12,39,9,12.3,0.146529562982005
"1996",7,12,27.6,10,10.1,0.233933161953728
"2346",7,12,46,5.1,12.2,0.276315789473684
"2360",7,12,43.8,8.4,15.2,0.444736842105263
"2367",7,12,36.7,10,11.6,0.136842105263158
"2717",7,12,31.8,10,8.7,0.141732283464567
"2724",7,12,47.7,8,19.8,0.267716535433071
