"","mo","temp","NUM_COLLISIONS"
"2426",2,26.7,0.561679790026247
"2433",2,21.6,0.335958005249344
"249",3,39.1,0.223880597014925
"256",3,46.3,0.704477611940298
"263",3,36.5,0.417910447761194
"270",3,41.7,0.122388059701493
"613",3,29.5,0.265243902439024
"620",3,43.4,0.338414634146341
"627",3,35,0.36890243902439
"634",3,30.8,0.484756097560976
"977",3,36.1,0.457446808510638
"984",3,42.1,0.433510638297872
"991",3,31,0.38563829787234
"1341",3,45.7,0.603825136612022
"1355",3,45.2,0.538251366120219
"1362",3,48.6,0.516393442622951
"1369",3,43.4,0.595628415300546
"1705",3,47.4,0.295629820051414
"1712",3,45.9,0.393316195372751
"1719",3,29.8,0.498714652956298
"1726",3,38.6,0.413881748071979
"1733",3,41.9,0.555269922879177
"2076",3,38.1,0.168421052631579
"2083",3,34.8,0.523684210526316
"2440",3,25.4,0.493438320209974
"2461",3,34.4,0.42257217847769
"277",4,42.6,0.394029850746269
"284",4,46.5,0.537313432835821
"291",4,52.1,0.402985074626866
"298",4,47.5,0.591044776119403
"648",4,46.8,0.582317073170732
"655",4,42.9,0.50609756097561
"662",4,49.5,0.402439024390244
"669",4,43.5,0.753048780487805
"1005",4,37.9,0.654255319148936
"1012",4,41.2,0.146276595744681
"1019",4,50.6,0.513297872340426
"1026",4,49.8,0.441489361702128
"1033",4,49.3,0.736702127659574
"1376",4,37,0.53551912568306
"1383",4,46.7,0.73224043715847
"1390",4,47.3,0.724043715846995
"1740",4,42.6,0.336760925449871
"1754",4,41.7,0.318766066838046
"1761",4,53.1,0.447300771208226
"2104",4,47.3,0.265789473684211
"2118",4,41.9,0.55
"2125",4,49.2,0.455263157894737
"2468",4,43.7,0.556430446194226
"2475",4,41.8,0.608923884514436
"2482",4,47.5,0.57742782152231
"312",5,59.4,0.656716417910448
"319",5,53.1,0.394029850746269
"326",5,57.8,0.507462686567164
"333",5,57.9,0.519402985074627
"697",5,51.1,0.408536585365854
"1047",5,59.5,0.672872340425532
"1054",5,58.8,0.702127659574468
"1061",5,62.4,0.784574468085106
"1404",5,47.3,0.603825136612022
"1418",5,55.5,0.666666666666667
"1768",5,54.7,0.663239074550129
"1775",5,48.7,0.544987146529563
"1782",5,57.9,0.763496143958869
"1789",5,53.9,0.475578406169666
"2132",5,54.5,0.892105263157895
"2139",5,51.2,0.678947368421053
"2146",5,55.3,0.613157894736842
"2503",5,53,0.650918635170604
"2510",5,48.5,0.761154855643045
"2517",5,56.7,0.766404199475066
