"","day","mo","NUM_COLLISIONS"
"2277",1,9,0.371052631578947
"2641",1,9,0.624671916010499
"93",1,10,0.482539682539683
"107",1,10,0.647619047619048
"114",1,10,0.653968253968254
"464",1,10,0.650746268656716
"478",1,10,0.644776119402985
"485",1,10,0.656716417910448
"842",1,10,0.570121951219512
"849",1,10,0.725609756097561
"1192",1,10,0.518617021276596
"1206",1,10,0.704787234042553
"1213",1,10,0.787234042553192
"1563",1,10,0.292349726775956
"1577",1,10,0.385245901639344
"1584",1,10,0.609289617486339
"1927",1,10,0.231362467866324
"1934",1,10,0.475578406169666
"1948",1,10,0.966580976863753
"2291",1,10,0.126315789473684
"2298",1,10,0.628947368421053
"2305",1,10,0.518421052631579
"2312",1,10,0.639473684210526
"2669",1,10,0.414698162729659
"2676",1,10,0.540682414698163
"128",1,11,0.241269841269841
"142",1,11,0.577777777777778
"149",1,11,0.507936507936508
"492",1,11,0.770149253731343
"499",1,11,0.167164179104478
"506",1,11,0.629850746268657
"513",1,11,0.925373134328358
"856",1,11,0.673780487804878
"870",1,11,0.798780487804878
"877",1,11,0.969512195121951
"1220",1,11,0.561170212765957
"1241",1,11,0.803191489361702
"1248",1,11,0.555851063829787
"1591",1,11,0.729508196721312
"1605",1,11,0.688524590163934
"1612",1,11,0.587431693989071
"1955",1,11,0.580976863753213
"1969",1,11,0.750642673521851
"1976",1,11,0.460154241645244
"2319",1,11,0.805263157894737
"2326",1,11,0.115789473684211
"2340",1,11,0.763157894736842
"2697",1,11,0.897637795275591
"2704",1,11,0.62992125984252
"163",1,12,0.685714285714286
"170",1,12,0.780952380952381
"184",1,12,0.250793650793651
"527",1,12,0.713432835820896
"534",1,12,0.716417910447761
"541",1,12,0.916417910447761
"548",1,12,0.226865671641791
"891",1,12,0.533536585365854
"905",1,12,0.49390243902439
"1269",1,12,0.558510638297872
"1276",1,12,0.234042553191489
"1619",1,12,0.980874316939891
"1626",1,12,0.636612021857924
"1633",1,12,0.792349726775956
"1990",1,12,0.691516709511568
"2347",1,12,0.642105263157895
"2361",1,12,0.621052631578947
"2711",1,12,0.469816272965879
