"","temp","visib","wdsp","NUM_COLLISIONS"
"1662",40,9.6,8.4,0.516709511568123
"1669",48.9,2.3,17.2,0.277634961439589
"1676",28.1,8.2,9.8,0.295629820051414
"2019",38.3,9.3,14.6,0.607894736842105
"2026",32.3,8.2,8.8,0.431578947368421
"2033",45.3,4.4,16.2,0.205263157894737
"2040",31.9,4.3,23.4,0.331578947368421
"2376",47.4,5.4,18.3,0.0761154855643045
"220",28.7,7.8,8.2,0.495522388059702
"227",41.4,6.5,11.9,0.292537313432836
"241",35,10,5,0.408955223880597
"591",24,10,9.2,0.707317073170732
"598",28.2,9,12.7,0.347560975609756
"605",27,10,15.5,0.332317073170732
"955",36.4,7.4,21.1,0.449468085106383
"962",21.7,6.5,7.7,0.579787234042553
"1319",33.1,8.1,11.5,0.379781420765027
"1326",44.5,4.8,18.5,0.5
"1333",36.5,10,9.9,0.521857923497268
"1683",38.1,8.4,9.2,0.437017994858612
"1690",30.1,10,15.1,0.596401028277635
"2054",31.5,10,9.7,0.421052631578947
"2061",45.6,2.9,12.4,0.215789473684211
"2418",29.4,8.2,11.2,0.750656167979003
"2425",25.9,10,15.1,0.330708661417323
"2432",29.2,10,20.2,0.706036745406824
"248",38.5,9.9,14.9,0.37910447761194
"255",46,7.5,13.1,0.438805970149254
"262",39.6,4.6,16.5,0.474626865671642
"269",39.8,9.7,15.5,0.0746268656716418
"619",41.3,8.3,9,0.323170731707317
"626",27.7,10,8.7,0.448170731707317
"976",27,10,10.8,0.609042553191489
"990",38.6,7.9,10.1,0.335106382978723
"1004",39.4,9.8,13.6,0.601063829787234
"1340",43.2,9.3,12.1,0.628415300546448
"1354",48.3,3.4,17.3,0.480874316939891
"1361",40.8,10,16,0.53551912568306
"1368",48.6,9.7,19.6,0.685792349726776
"1711",36.7,9.2,10.7,0.465295629820051
"1732",40.7,5,8.7,0.349614395886889
"2075",37.7,10,17.5,0.586842105263158
"2096",37.6,10,16,0.457894736842105
"2439",28.2,10,12.4,0.624671916010499
"2446",38.6,10,11.8,0.485564304461942
"2453",35.2,10,8.2,0.430446194225722
"2460",36.9,10,10.8,0.548556430446194
"276",39.6,9.9,17.2,0.11044776119403
"283",49.4,6.7,10.7,0.635820895522388
"297",44.6,5.1,15,0.337313432835821
"640",37.1,9.3,17.6,0.442073170731707
"647",47.7,1.9,14.7,0.615853658536585
"654",52.6,6.6,16,0.146341463414634
"668",44.2,10,16.5,0.460365853658537
"1011",44.2,8.6,9.3,0.132978723404255
"1018",49.8,8.9,10.2,0.372340425531915
"1025",51.5,3.6,14.3,0.646276595744681
"1032",46,9.8,15.7,0.561170212765957
"1375",35.1,9.8,19.5,0.655737704918033
"1396",46.8,9,9.4,0.128415300546448
